Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
388494,572007,0,1,1,54.2,21.9,50.1,4.25
388611,572149,0,1,1,39,16,14.5,1.31
388612,572150,0,1,1,39.4,16.4,14.9,1.256
388613,572151,0,1,1,39.3,16.3,14.9,1.182
388614,572152,0,1,1,14.8,16.4,39.3,1.182
388619,572157,0,1,1,29.9,19.7,39.5,2.478
388625,572163,0,1,1,49,4.5,22,1.21
388625,717790,1,1,10,50,46.5,25.5,13.02
388675,572218,0,1,1,16.3,1.7,25,0.052
388772,572326,0,1,1,29.5,10,22,2.42
388772,573456,1,1,5,55,33,25.5,13.15
388773,572327,0,1,1,29.5,10,22,2.47
388773,573453,1,1,5,55,32,25.5,13.32
388863,572434,0,1,1,10,10.7,10,0.608
388863,573290,1,1,18,33.5,33.9,24.6,11.646
388921,572500,0,1,1,6.8,1.5,6.2,0.012
388924,572503,0,1,1,14.8,7,19,0.17
388924,574077,1,1,44,60,31.6,39.3,11.98
388927,572506,0,1,1,18.9,7,14.7,0.182
388927,574085,1,1,44,60,31.6,39.3,11.98
388929,572508,0,1,1,14.6,6.9,18.9,0.168
388929,574089,1,1,44,60,31.6,39.3,11.98
388971,572554,0,1,1,81.1,6.9,49.6,3.882
389162,572762,0,1,1,13,6.7,9.5,0.272
389162,572957,1,1,20,39.2,14.7,34.2,5.796
389210,572816,0,1,1,29.7,9.6,9.5,0.664
389210,575123,1,1,20,62,27,35.5,8.76
389223,572829,0,1,1,19,4.4,20.1,0.588
389240,572847,0,1,1,14.4,13.4,15.8,0.454
389291,572905,0,1,1,10.2,22.4,10.3,1.29
389292,572906,0,1,1,10.2,18.4,10.4,1.14
389319,572948,0,1,1,35,20,36,1.55
389319,750374,1,1,5,44.5,39.5,23.5,8.828
389521,573180,0,1,1,3.9,0.7,7.3,0.02
389522,573181,0,1,1,23.5,9.8,18.6,1.014
389545,573205,0,1,1,15.8,2.4,9.7,0.02
389546,573206,0,1,1,10.1,1.7,14.9,0.018
389547,573207,0,1,1,14.8,3.9,9.9,0.018
389548,573208,0,1,1,8.6,2.6,9.8,0.018
389549,573209,0,1,1,14.3,2,9.8,0.018
389550,573210,0,1,1,8.1,3,10.3,0.016
389596,573273,0,1,1,6,3.6,19.5,0.102
389654,573352,0,1,1,23,21,24,2.698
389665,573364,0,1,1,24,3,16.5,0.18
389821,573556,0,1,1,11.9,5,35,1.006
389829,573564,0,1,1,8.2,3.7,10,0.16
389830,573565,0,1,1,8.3,3.7,9.9,0.16
389831,573566,0,1,1,8.5,3.7,9.8,0.168
389832,573567,0,1,1,8.4,3.7,10,0.162
389839,573574,0,1,1,8.4,3.7,10.1,0.16
389840,573575,0,1,1,8.2,3.6,10,0.162
389841,573576,0,1,1,8.4,3.6,10,0.162
389842,573577,0,1,1,8.3,3.6,10,0.162
389843,573578,0,1,1,8.4,3.6,10,0.156
389845,573580,0,1,1,19.1,3,11.8,0.26
389845,742809,1,1,40,59.5,39.5,13.5,11.242
389846,573581,0,1,1,18.9,3.2,11.6,0.194
389846,742810,1,1,48,59.5,39.5,13.5,8.505
389847,573582,0,1,1,19.1,3,11.5,0.2
389848,573583,0,1,1,11.7,2.9,19.1,0.192
389849,573584,0,1,1,19.1,2.9,11.6,0.202
389850,573585,0,1,1,11.5,2.9,19.2,0.162
389851,573586,0,1,1,11.6,3.2,19.5,0.16
389852,573587,0,1,1,19.2,3,11.5,0.162
389874,573613,0,1,1,49.2,12.6,28.9,3.63
389874,707780,1,1,5,54,30,51,19.21
389875,573614,0,1,1,55.6,16.4,43.3,6.05
389876,573615,0,1,1,56.2,16,52,7.518
389978,573725,0,2,1,61,40,51,23.4
389979,573726,0,2,1,61,41,51,23
389980,573727,0,2,1,61,41,51,23
389997,573748,0,2,1,60,69.5,50.5,31
390003,573754,0,1,1,57.1,12.5,12.7,1.518
390004,573755,0,1,1,49.8,9.2,19.8,2.688
390004,707791,1,1,6,66.4,21.2,51.9,17.026
390005,573756,0,1,1,37.4,5.1,25.7,2.498
390005,744419,1,1,5,40,27.5,20,12.71
390006,573757,0,1,1,80.5,14.6,23.8,11.656
390035,573797,0,1,1,35.7,7,22.8,0.638
390035,573990,1,1,20,47.8,37.3,38.6,7.512
390035,897664,2,2,200,120,197,80,159.5
390037,573800,0,1,1,27,7.3,24.7,0.812
390037,707792,1,1,16,56,31,51,4.22
390038,573802,0,1,1,29.3,42.6,42.9,6.508
390038,574137,1,1,2,59.1,44.7,45.5,13.928
390130,573905,0,1,1,15,5.4,11.5,0.112
390130,574654,1,1,20,53.9,17.3,24.6,2.742
390179,573959,0,2,1,73,95,70,77
390180,573960,0,2,1,129,105,80,117
390181,573961,0,2,1,128,111,80,120
390314,574133,0,1,1,60.5,27.9,41.5,2.898
390419,574250,0,1,1,17,7,15,0.518
390545,574383,0,1,1,75.6,7.6,21.5,3.558
390581,574478,0,1,1,9.7,1.8,10.2,0.018
390594,574496,0,1,1,23.1,6.5,40,2.822
390669,574572,0,1,1,23.1,6.7,39.7,2.878
390743,574648,0,1,1,34.4,8.1,26.6,0.302
390761,574674,0,1,1,39.8,9.6,40.1,2.052
390761,701616,1,1,5,48.8,30.9,38.2,11.018
390913,574950,0,1,1,64.5,11.3,11.6,2.624
390913,614763,1,1,4,66,26,26,11.3
391127,575248,0,1,1,19.1,2.9,14.6,0.036
391142,575267,0,1,1,9.3,11.9,15.7,0.694
391188,575316,0,1,1,40.8,6.8,12.3,0.642
391188,705865,1,1,6,41.8,25.6,21,4.166
391189,575317,0,1,1,40.8,12.5,7,0.662
391189,699653,1,1,6,46,25.8,21.5,4.198
391190,575318,0,1,1,12.3,6.7,40.7,0.696
391190,707279,1,1,6,42,28.5,21,4.33
391191,575319,0,1,1,6.7,12.2,40.8,0.682
391191,699655,1,1,6,21.1,25.9,41.8,4.396
391192,575320,0,1,1,40.8,13.6,8,0.81
391192,699656,1,1,6,42.5,28.5,21,5.01
391193,575321,0,1,1,12.1,6.7,40.8,0.662
391193,707280,1,1,6,20.9,25.5,41.8,4.284
391194,575322,0,1,1,12.1,6.7,40.8,0.64
391194,705864,1,1,6,42,29,21,3.86
391195,575323,0,1,1,12.3,42.7,40.9,0.652
391195,705866,1,1,6,41.7,25.6,21.1,4.08
391196,575324,0,1,1,47.9,26.8,19.5,1.98
391197,575325,0,1,1,47.5,25.5,19.5,1.98
391198,575326,0,1,1,48,26.3,19.6,1.99
391199,575327,0,1,1,47.8,26.3,19.3,1.978
391202,575330,0,1,1,6,6,11.1,0.112
391319,575458,0,1,1,6.3,6.3,27,0.144
391319,910348,1,1,72,40.3,39.5,51.3,11.422
391322,575462,0,1,1,48.5,8.3,8.4,0.826
391322,744130,1,1,16,35.2,50.1,26.8,10.538
391334,575476,0,1,1,21.4,6.9,26.2,0.45
391334,577357,1,1,10,54,25.5,36,5.52
391392,575543,0,1,1,37.3,12.6,11.4,0.824
391394,575545,0,1,1,11.2,12.7,38.3,0.94
391395,575546,0,1,1,11.1,12.6,38.4,0.924
391396,575547,0,1,1,11.1,12.6,38.4,0.926
391397,575548,0,1,1,11.2,12.7,38.5,0.922
391402,575553,0,1,1,39.9,31.1,16.1,1.184
391402,605041,2,1,42,120,107,80,96.6
